group,subject,hand,src_dir,fname
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_104240.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_104509.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_104725.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_104940.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_105153.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_105406.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_105620.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_105835.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110050.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110306.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110523.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110738.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110952.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_111232.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_111447.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_111705.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_111920.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_112135.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_112349.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_112603.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_112818.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113031.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113247.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113503.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113718.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113932.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_114146.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_114400.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_114614.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_114827.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131001.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131214.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131505.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131719.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131959.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_132214.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_132427.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_132642.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_132857.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_133112.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_133340.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_133553.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_133809.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134024.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134238.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134508.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134723.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134940.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_135155.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_135409.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150009.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150226.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150440.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150653.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150906.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_151119.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_151333.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_151548.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_151802.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152028.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152243.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152455.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152710.npz
single_single,fgw0917,left,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152922.npz
